index,randomTime0(seconds),randomX0(meters),randomY0(meters),soc0,destX0(meters),destY0(meters),batteryCapacityUser0(kwh),ecrUser0(kwh/km),randomTime1(seconds),randomX1(meters),randomY1(meters),soc1,destX1(meters),destY1(meters),batteryCapacityUser1(kwh),ecrUser1(kwh/km),randomTime2(seconds),randomX2(meters),randomY2(meters),soc2,destX2(meters),destY2(meters),batteryCapacityUser2(kwh),ecrUser2(kwh/km),randomTime3(seconds),randomX3(meters),randomY3(meters),soc3,destX3(meters),destY3(meters),batteryCapacityUser3(kwh),ecrUser3(kwh/km),randomTime4(seconds),randomX4(meters),randomY4(meters),soc4,destX4(meters),destY4(meters),batteryCapacityUser4(kwh),ecrUser4(kwh/km),randomTime5(seconds),randomX5(meters),randomY5(meters),soc5,destX5(meters),destY5(meters),batteryCapacityUser5(kwh),ecrUser5(kwh/km),randomTime6(seconds),randomX6(meters),randomY6(meters),soc6,destX6(meters),destY6(meters),batteryCapacityUser6(kwh),ecrUser6(kwh/km),randomTime7(seconds),randomX7(meters),randomY7(meters),soc7,destX7(meters),destY7(meters),batteryCapacityUser7(kwh),ecrUser7(kwh/km),randomTime8(seconds),randomX8(meters),randomY8(meters),soc8,destX8(meters),destY8(meters),batteryCapacityUser8(kwh),ecrUser8(kwh/km),randomTime9(seconds),randomX9(meters),randomY9(meters),soc9,destX9(meters),destY9(meters),batteryCapacityUser9(kwh),ecrUser9(kwh/km),randomTime10(seconds),randomX10(meters),randomY10(meters),soc10,destX10(meters),destY10(meters),batteryCapacityUser10(kwh),ecrUser10(kwh/km),randomTime11(seconds),randomX11(meters),randomY11(meters),soc11,destX11(meters),destY11(meters),batteryCapacityUser11(kwh),ecrUser11(kwh/km),randomTime12(seconds),randomX12(meters),randomY12(meters),soc12,destX12(meters),destY12(meters),batteryCapacityUser12(kwh),ecrUser12(kwh/km),randomTime13(seconds),randomX13(meters),randomY13(meters),soc13,destX13(meters),destY13(meters),batteryCapacityUser13(kwh),ecrUser13(kwh/km),randomTime14(seconds),randomX14(meters),randomY14(meters),soc14,destX14(meters),destY14(meters),batteryCapacityUser14(kwh),ecrUser14(kwh/km),randomTime15(seconds),randomX15(meters),randomY15(meters),soc15,destX15(meters),destY15(meters),batteryCapacityUser15(kwh),ecrUser15(kwh/km),randomTime16(seconds),randomX16(meters),randomY16(meters),soc16,destX16(meters),destY16(meters),batteryCapacityUser16(kwh),ecrUser16(kwh/km),randomTime17(seconds),randomX17(meters),randomY17(meters),soc17,destX17(meters),destY17(meters),batteryCapacityUser17(kwh),ecrUser17(kwh/km),randomTime18(seconds),randomX18(meters),randomY18(meters),soc18,destX18(meters),destY18(meters),batteryCapacityUser18(kwh),ecrUser18(kwh/km),randomTime19(seconds),randomX19(meters),randomY19(meters),soc19,destX19(meters),destY19(meters),batteryCapacityUser19(kwh),ecrUser19(kwh/km),randomTime20(seconds),randomX20(meters),randomY20(meters),soc20,destX20(meters),destY20(meters),batteryCapacityUser20(kwh),ecrUser20(kwh/km),randomTime21(seconds),randomX21(meters),randomY21(meters),soc21,destX21(meters),destY21(meters),batteryCapacityUser21(kwh),ecrUser21(kwh/km),randomTime22(seconds),randomX22(meters),randomY22(meters),soc22,destX22(meters),destY22(meters),batteryCapacityUser22(kwh),ecrUser22(kwh/km),randomTime23(seconds),randomX23(meters),randomY23(meters),soc23,destX23(meters),destY23(meters),batteryCapacityUser23(kwh),ecrUser23(kwh/km)
10,270,1525,3658,0.048,8806,7635,27.0,0.165,3884,809,3720,0.044,8056,4786,29.5,0.185,7415,8868,5712,0.039,8650,1090,22.0,0.16,11001,854,983,0.038,841,5080,22.5,0.17,14642,4823,8517,0.034,5437,3753,22.0,0.19,18215,5579,990,0.047,6046,5677,29.0,0.18,21787,2513,1693,0.031,2443,7401,29.5,0.16,25340,896,6681,0.047,23,7099,22.0,0.185,29124,6651,2393,0.055,2545,2745,23.0,0.2,32710,1403,6208,0.04,9514,6380,22.0,0.195,36196,2609,6799,0.043,4686,8200,26.5,0.205,39822,7189,7786,0.046,6420,748,27.0,0.165,43550,1767,824,0.049,3814,4885,29.5,0.165,46938,4776,3566,0.047,1024,4887,26.5,0.19,50578,1859,35,0.056,3021,6126,22.0,0.2,54221,3906,2903,0.06,1960,1403,30.0,0.185,57947,1126,1603,0.036,5782,864,30.0,0.195,61447,3758,3109,0.033,7668,351,30.0,0.2,64978,656,3523,0.058,9813,3807,32.0,0.19,68666,8058,3158,0.042,2986,9808,27.0,0.195,72195,4857,1718,0.044,1201,9067,29.0,0.19,76156,690,6656,0.032,6134,8149,30.0,0.16,79432,6440,5372,0.06,9212,6922,27.0,0.205,83047,6224,1904,0.058,2075,7691,22.0,0.205
11,357,992,1034,0.055,9945,7048,29.5,0.17,3898,1705,970,0.045,344,9087,22.0,0.205,7424,6724,2482,0.04,5165,274,29.5,0.2,11006,2939,807,0.041,6745,7433,26.5,0.21,14653,73,7362,0.036,988,7993,32.0,0.21,18221,5593,5280,0.033,7445,5861,29.5,0.195,21805,5397,4839,0.053,6196,7952,32.0,0.18,25386,2783,6646,0.042,8612,4064,29.5,0.205,29134,5817,3866,0.059,7628,7691,22.0,0.205,32710,3738,7266,0.06,3025,6362,30.0,0.16,36200,8863,7360,0.036,3284,3979,31.5,0.17,39849,873,8172,0.051,3693,9284,22.5,0.185,43555,1128,4037,0.036,7764,9720,23.0,0.195,46979,7779,5026,0.058,2634,681,22.0,0.18,50606,5426,6899,0.039,9702,2514,29.0,0.17,54221,4098,3043,0.057,7659,3010,22.0,0.19,57967,7605,5366,0.03,6997,3988,27.0,0.19,61496,1259,4976,0.043,3546,3624,26.5,0.205,65005,3325,8878,0.059,7133,1463,29.5,0.205,68679,1119,1578,0.044,1712,8970,22.0,0.16,72201,2569,6328,0.05,2361,5183,30.0,0.19,76180,2800,3624,0.037,4893,7495,22.5,0.21,79469,3615,2777,0.05,8148,4132,27.0,0.195,83048,5706,7850,0.058,8599,1263,26.5,0.16
12,429,6175,6029,0.043,1955,6160,30.0,0.21,3905,5054,1992,0.04,783,1439,29.0,0.165,7425,2249,2982,0.044,1513,8880,23.0,0.17,11054,6951,2097,0.053,4943,2873,22.0,0.19,14655,5104,7728,0.053,562,9249,26.5,0.165,18230,4431,8244,0.055,6764,1091,23.0,0.2,21840,4361,8665,0.052,2591,7805,27.0,0.195,25392,6435,8674,0.054,1674,3497,31.5,0.21,29177,8391,5945,0.037,2839,5347,30.0,0.18,32750,2398,7903,0.047,3973,94,32.0,0.18,36202,7096,1617,0.038,9752,9069,23.0,0.2,39889,701,3435,0.038,7383,2084,29.5,0.17,43575,1938,3732,0.035,7646,3049,31.5,0.21,47027,1075,3327,0.058,2093,6250,23.0,0.17,50622,7850,6624,0.04,6630,779,22.0,0.185,54230,2531,7184,0.057,2770,3206,27.0,0.17,57987,1886,2410,0.04,6450,5955,26.5,0.21,61528,3465,1951,0.055,6471,2742,29.5,0.21,65006,3144,6550,0.045,5967,4216,29.5,0.185,68688,4095,6152,0.056,278,2614,32.0,0.195,72227,8474,7201,0.03,1987,3715,22.0,0.185,76214,7215,8901,0.049,1345,1572,30.0,0.19,79526,6371,726,0.053,2041,4586,22.5,0.21,83054,2289,5230,0.049,7514,3810,27.0,0.19
13,481,5611,845,0.054,916,2440,29.0,0.18,3905,4333,1268,0.037,994,2745,29.5,0.17,7435,4460,6583,0.04,8652,5475,29.0,0.2,11076,7275,4615,0.034,9846,9730,22.0,0.185,14664,4566,863,0.032,5805,8850,29.5,0.16,18232,7731,8060,0.037,5354,5800,23.0,0.185,21858,3121,7380,0.048,5192,7511,27.0,0.18,25409,5955,3539,0.033,1274,1283,31.5,0.165,29186,8812,1275,0.045,7562,8620,22.0,0.195,32753,4732,7891,0.048,2771,5725,31.5,0.19,36208,5081,6780,0.038,4553,9678,29.0,0.17,39909,8695,1907,0.04,8615,2036,29.5,0.185,43582,8267,3358,0.035,5175,1720,29.0,0.205,47034,6417,6257,0.054,4054,7184,23.0,0.195,50639,7012,2457,0.053,5233,9756,30.0,0.18,54235,8032,8434,0.052,3090,5418,26.5,0.165,58018,1550,1215,0.034,5767,8327,22.0,0.2,61529,145,1621,0.048,4397,6882,22.0,0.195,65012,8441,2498,0.032,9053,5863,29.0,0.205,68694,6143,4593,0.039,9290,7259,22.5,0.165,72238,7200,5815,0.057,4899,7579,23.0,0.165,76226,5018,5367,0.039,4840,4187,29.0,0.185,79546,2845,6883,0.041,9920,9842,31.5,0.18,83063,1269,7221,0.054,9526,9674,26.5,0.185
14,482,2054,2415,0.056,3927,9409,32.0,0.21,3907,4459,6467,0.043,975,4796,23.0,0.16,7469,4914,7297,0.037,4203,7316,26.5,0.19,11108,8775,2828,0.06,8312,948,22.0,0.19,14687,201,342,0.058,3167,7220,29.5,0.18,18262,6719,3389,0.039,2225,2934,23.0,0.17,21869,5692,998,0.052,8425,2382,23.0,0.16,25450,8280,7237,0.056,202,3375,27.0,0.205,29198,4138,7205,0.056,9940,1835,29.0,0.16,32764,1531,6102,0.055,6515,4854,23.0,0.17,36231,27,8510,0.03,8514,970,32.0,0.21,39932,26,3778,0.053,5567,9418,26.5,0.19,43589,2512,7636,0.054,9801,1647,22.0,0.2,47057,600,5239,0.047,8917,1507,30.0,0.185,50654,7761,98,0.054,6993,447,29.5,0.205,54275,6544,1980,0.053,3943,4044,32.0,0.16,58045,941,4308,0.035,6268,6586,32.0,0.17,61554,2118,4070,0.034,8330,380,29.0,0.205,65016,617,2250,0.048,234,1975,29.0,0.18,68705,5562,6489,0.045,9989,7892,22.5,0.165,72240,4844,4271,0.032,3659,7963,29.5,0.16,76227,7652,2749,0.044,4726,4425,27.0,0.18,79548,654,7872,0.044,9683,5410,26.5,0.165,83075,4469,4080,0.044,6192,1861,31.5,0.195
15,518,3890,3439,0.037,2051,8536,30.0,0.16,3912,842,324,0.032,4591,3535,32.0,0.185,7486,5437,5333,0.032,1955,4066,32.0,0.17,11125,4428,1819,0.037,3116,2041,32.0,0.185,14697,7636,458,0.039,5534,1768,22.0,0.21,18291,348,1843,0.051,5280,5845,30.0,0.205,21873,5439,940,0.044,5470,6743,22.0,0.165,25492,4128,3393,0.039,5603,9041,32.0,0.21,29240,6910,8419,0.047,6537,1493,31.5,0.195,32765,8783,5043,0.056,4498,2725,27.0,0.16,36263,8404,511,0.035,2815,8932,26.5,0.17,39953,2315,5325,0.041,2064,8703,31.5,0.19,43592,1479,1920,0.053,493,2425,31.5,0.17,47065,483,3953,0.032,3296,7214,22.5,0.16,50684,6177,8740,0.056,4912,9585,23.0,0.185,54285,5412,2719,0.036,4029,9168,32.0,0.205,58084,4768,531,0.049,9674,4193,29.0,0.165,61560,7813,6166,0.032,8697,5942,29.0,0.18,65061,5359,5486,0.057,1368,8953,30.0,0.18,68723,386,6378,0.034,1420,3144,22.0,0.2,72240,8048,4041,0.058,1702,5829,22.0,0.2,76236,8104,6477,0.031,8232,4809,31.5,0.2,79555,1438,4750,0.031,7013,5589,26.5,0.2,83081,2779,1336,0.055,9316,9966,26.5,0.205
16,518,7103,3020,0.03,4682,4094,32.0,0.17,3955,6805,5908,0.041,3272,8074,22.0,0.17,7561,3574,6240,0.049,9558,5369,29.5,0.195,11128,2012,4655,0.059,8025,7136,26.5,0.16,14750,1727,1651,0.048,6514,9286,29.0,0.17,18339,3369,5670,0.038,2553,6686,27.0,0.21,21888,5601,4483,0.048,6247,4619,29.5,0.195,25530,3476,4037,0.058,9212,3217,27.0,0.165,29248,7419,1375,0.041,665,384,30.0,0.16,32766,4306,6593,0.051,5384,2369,30.0,0.17,36291,2547,6566,0.054,5772,5283,32.0,0.17,39962,7648,361,0.032,9161,3510,32.0,0.21,43659,1691,8131,0.049,4556,4813,26.5,0.21,47066,1034,2550,0.031,9396,9031,27.0,0.19,50689,216,3791,0.034,9554,5342,29.0,0.195,54288,5288,8989,0.037,9337,2183,22.0,0.2,58108,439,1445,0.053,2124,4028,30.0,0.17,61602,3343,2126,0.049,639,4272,30.0,0.195,65095,2315,2070,0.038,6674,7133,32.0,0.2,68744,5804,5094,0.035,7895,3296,30.0,0.19,72267,1277,7650,0.033,7611,6281,31.5,0.185,76274,4812,8080,0.049,8391,6994,27.0,0.18,79577,641,5875,0.056,8260,3246,32.0,0.205,83088,3573,4074,0.042,4071,6026,22.0,0.165
17,526,3680,7449,0.048,6102,5800,22.5,0.19,3958,4094,14,0.042,6842,4198,29.5,0.165,7588,6645,1797,0.036,165,114,23.0,0.205,11133,7875,4188,0.051,6315,4558,30.0,0.165,14781,2138,1716,0.044,7336,5361,22.5,0.17,18384,8405,6445,0.043,6769,7780,23.0,0.185,21893,3762,5426,0.036,730,7040,32.0,0.185,25580,6665,938,0.044,219,5098,31.5,0.18,29252,7390,1033,0.06,7365,7021,32.0,0.2,32803,6457,7047,0.05,1588,1077,30.0,0.21,36296,7284,8365,0.032,8843,6849,31.5,0.195,39981,2278,8199,0.032,3763,5207,22.5,0.185,43704,4860,2918,0.041,5872,4649,27.0,0.18,47070,1806,4247,0.043,9072,4634,26.5,0.17,50740,6168,490,0.057,9187,1296,29.0,0.18,54289,1732,3991,0.043,9130,8632,23.0,0.16,58150,3548,2676,0.057,1998,3530,23.0,0.205,61615,2065,3185,0.044,8430,4097,27.0,0.205,65100,4909,283,0.038,7436,1169,22.5,0.195,68751,1171,3295,0.037,1634,6173,27.0,0.21,72268,7350,3142,0.049,2810,9688,31.5,0.18,76307,1133,7618,0.039,1712,1006,23.0,0.16,79589,7864,8481,0.034,6829,5611,29.0,0.205,83098,5333,5476,0.043,285,8429,22.0,0.17
18,551,8456,8837,0.041,1563,5496,22.0,0.21,3958,2210,8075,0.048,5444,7002,23.0,0.165,7594,8680,5861,0.033,9577,5049,31.5,0.21,11166,2837,8651,0.052,5026,2216,31.5,0.2,14819,798,5705,0.042,9620,7055,29.0,0.16,18391,1920,5979,0.053,8921,9004,26.5,0.2,21901,3134,8391,0.046,2380,418,31.5,0.21,25603,8343,6094,0.03,764,450,22.0,0.185,29253,8486,6767,0.05,2147,9546,30.0,0.165,32805,2160,6721,0.051,159,3955,26.5,0.19,36317,2294,5425,0.057,456,7855,32.0,0.19,39989,3651,2819,0.05,9006,2949,26.5,0.2,43747,5071,5587,0.053,2966,5687,29.0,0.16,47110,6683,3265,0.057,7927,5490,26.5,0.17,50760,6608,5644,0.041,7675,8424,22.0,0.19,54299,7674,3863,0.041,5617,9041,29.5,0.19,58197,6902,6009,0.056,8215,1341,22.5,0.165,61620,3248,5685,0.033,6864,5182,22.5,0.185,65106,3311,4194,0.036,5245,1121,30.0,0.2,68762,7212,8008,0.056,6605,4813,23.0,0.2,72317,4644,7465,0.044,5080,4641,30.0,0.185,76317,1598,5855,0.057,4887,7579,22.5,0.195,79623,1104,6186,0.049,1412,3051,31.5,0.185,83112,4343,6902,0.051,8874,6121,30.0,0.185
19,554,626,2956,0.039,1124,8079,22.5,0.165,3971,8070,1648,0.048,7814,7907,29.0,0.17,7614,675,138,0.039,177,1592,27.0,0.17,11180,7220,3871,0.057,5716,2537,26.5,0.205,14821,7602,2938,0.035,157,1936,29.0,0.165,18419,4196,735,0.051,6208,644,22.0,0.17,21928,2286,7840,0.051,5229,2173,31.5,0.19,25676,3777,5178,0.044,827,7781,27.0,0.19,29260,2864,2626,0.035,3914,7432,23.0,0.19,32813,5410,40,0.049,5434,330,23.0,0.165,36351,7711,3452,0.055,280,2792,27.0,0.195,39997,5746,7736,0.036,746,7661,26.5,0.2,43754,7060,5836,0.039,8860,4669,29.0,0.19,47122,6008,4002,0.057,1267,7131,30.0,0.19,50763,5294,7753,0.039,2501,4487,29.0,0.21,54307,4975,1739,0.055,1573,9227,32.0,0.195,58204,2287,2526,0.048,4733,6343,22.5,0.195,61648,6563,3566,0.052,8835,8144,26.5,0.17,65122,6380,2000,0.044,1841,1541,26.5,0.17,68787,3575,5309,0.045,4111,7366,26.5,0.195,72327,4486,4174,0.045,6209,3984,22.0,0.16,76322,2419,3449,0.043,819,3286,22.0,0.195,79644,6642,2208,0.059,4903,1953,26.5,0.195,83136,7354,64,0.057,8744,797,23.0,0.17
20,563,2777,3027,0.031,1293,6122,22.5,0.21,4033,8564,2097,0.042,6839,3898,31.5,0.205,7618,8130,3885,0.055,5694,6626,26.5,0.19,11185,8815,3139,0.031,2075,8603,32.0,0.165,14825,3528,2197,0.052,8117,1235,29.5,0.165,18420,8930,4345,0.039,1529,161,23.0,0.2,21956,4816,3941,0.056,4539,4752,29.5,0.2,25749,7514,8518,0.059,5516,1929,23.0,0.165,29271,7852,4800,0.052,896,2877,29.5,0.165,32815,2033,110,0.059,8247,1525,22.5,0.205,36356,1304,2420,0.058,4304,2948,26.5,0.21,40004,527,6346,0.045,6233,7526,29.0,0.185,43778,7487,3734,0.044,9164,2219,30.0,0.17,47154,5384,7079,0.046,3422,3389,30.0,0.2,50790,5493,723,0.051,7473,2083,32.0,0.185,54311,3234,4372,0.039,9395,5860,22.5,0.18,58275,4281,7478,0.041,5962,7200,26.5,0.165,61650,2404,4489,0.035,1640,7967,31.5,0.195,65129,8408,5194,0.06,4847,7413,29.5,0.195,68807,3337,7850,0.055,2733,766,23.0,0.17,72331,6605,1340,0.032,2003,5829,32.0,0.17,76334,3137,8728,0.036,2502,9314,29.5,0.205,79655,8165,1746,0.048,3173,1299,23.0,0.165,83163,7945,8492,0.059,3256,4952,29.0,0.16
21,594,3520,217,0.043,9740,2025,31.5,0.19,4037,3912,7945,0.039,1894,164,32.0,0.19,7645,3374,2365,0.047,2829,8637,23.0,0.185,11237,5035,7600,0.032,7053,9975,23.0,0.165,14827,8936,6210,0.056,2532,6657,22.5,0.2,18427,5388,6377,0.043,1475,8488,30.0,0.165,22062,2445,1364,0.047,8276,7911,31.5,0.205,25761,4353,6843,0.055,6778,7962,29.5,0.165,29316,1954,5538,0.039,7253,7963,26.5,0.195,32822,3596,3736,0.032,8548,7528,23.0,0.19,36428,1849,3039,0.054,4174,2166,32.0,0.185,40014,5400,2431,0.043,3020,2458,23.0,0.18,43798,7508,8196,0.054,7784,4205,23.0,0.185,47176,2866,681,0.031,4594,7933,31.5,0.165,50811,7293,6401,0.042,3305,468,29.0,0.195,54339,3716,8770,0.049,8553,8987,29.0,0.2,58300,2262,4395,0.055,9413,1726,29.5,0.2,61652,3132,4091,0.036,2288,4394,27.0,0.165,65140,8447,3659,0.032,2464,4669,30.0,0.17,68815,2729,2936,0.044,463,7452,29.5,0.205,72387,4810,7409,0.052,6640,2969,27.0,0.18,76337,4585,4616,0.054,4441,570,32.0,0.165,79676,6364,263,0.051,6186,7432,32.0,0.18,83164,4254,7980,0.055,9400,9427,30.0,0.185
22,621,4477,3223,0.031,5836,3702,29.0,0.195,4047,6533,1143,0.043,4630,5414,29.5,0.16,7677,7235,6436,0.047,1582,2116,26.5,0.2,11261,2385,3253,0.046,9410,4379,29.0,0.16,14828,7262,8478,0.059,3436,9076,26.5,0.17,18434,5010,5633,0.033,130,8730,26.5,0.17,22072,5722,8216,0.059,4840,2240,29.0,0.185,25770,7989,3970,0.046,1997,2436,31.5,0.185,29319,4796,7807,0.03,8114,8737,22.0,0.205,32854,4016,3295,0.06,5754,1019,22.5,0.2,36430,762,4645,0.039,5400,6314,30.0,0.2,40023,5771,7991,0.054,1256,3026,23.0,0.16,43822,7328,8295,0.059,4687,9843,27.0,0.205,47202,1873,5672,0.042,8007,3022,26.5,0.17,50819,6929,782,0.037,2549,2369,22.5,0.185,54373,2056,6180,0.049,9406,9182,29.5,0.205,58306,574,775,0.032,3017,8768,22.0,0.185,61664,5623,1625,0.038,9011,9395,32.0,0.205,65153,3100,6381,0.046,4215,9165,29.5,0.2,68938,5005,3136,0.055,6360,8337,29.5,0.16,72390,903,7532,0.055,9839,9819,30.0,0.21,76392,7358,1746,0.04,2838,8819,22.0,0.16,79683,5509,7810,0.047,3134,2676,30.0,0.21,83192,6422,7009,0.059,4090,4654,23.0,0.205
23,631,7647,860,0.042,8331,5780,26.5,0.2,4050,2076,311,0.056,9956,5314,22.5,0.205,7701,2654,768,0.038,9402,6852,23.0,0.2,11263,6583,5888,0.038,2628,5822,30.0,0.195,14849,3971,4422,0.047,447,7143,22.0,0.165,18477,1419,8918,0.031,7307,7096,30.0,0.21,22081,8579,3323,0.051,5708,7954,23.0,0.205,25776,31,4200,0.031,7440,6415,32.0,0.18,29342,2782,5413,0.05,9396,5688,23.0,0.165,32870,2607,7660,0.04,8715,1570,27.0,0.165,36455,1838,8051,0.039,6211,5197,30.0,0.21,40028,6636,6787,0.058,580,5347,22.0,0.165,43823,8899,2872,0.03,399,3826,29.5,0.19,47236,3419,565,0.058,9696,7344,29.0,0.18,50827,2899,8939,0.036,5046,9862,23.0,0.21,54407,7405,192,0.038,2255,6127,22.0,0.205,58306,8823,553,0.049,1009,627,23.0,0.185,61688,5982,8861,0.044,4293,4121,29.0,0.18,65171,142,4206,0.04,9412,8312,23.0,0.2,68968,17,6879,0.032,5678,9491,22.0,0.195,72406,3217,8815,0.056,5107,8400,22.0,0.165,76452,5919,8002,0.047,1391,2879,27.0,0.16,79768,2160,7303,0.046,466,8633,29.5,0.21,83235,7432,464,0.052,5386,2049,29.0,0.195
24,635,1446,4827,0.058,455,6277,29.0,0.21,4052,8739,8219,0.06,631,8481,22.0,0.185,7727,6870,4391,0.046,6649,6653,27.0,0.18,11270,3434,4126,0.048,7671,4053,29.0,0.205,14872,7745,1144,0.053,6726,7022,30.0,0.18,18536,8461,283,0.05,8811,9388,31.5,0.195,22085,2299,2465,0.05,5702,7134,22.0,0.2,25784,797,3708,0.032,3350,5635,22.5,0.185,29343,717,5617,0.056,3639,9712,26.5,0.17,32967,4754,8617,0.048,8234,3616,23.0,0.18,36455,6684,3095,0.044,8966,5864,31.5,0.205,40056,6019,1011,0.057,4224,8027,29.0,0.18,43916,5149,5619,0.033,7401,6064,27.0,0.2,47238,4207,780,0.057,9275,9972,30.0,0.17,50833,3369,2619,0.053,1387,2020,29.5,0.16,54412,1800,380,0.046,8255,5969,27.0,0.21,58311,613,8670,0.052,2761,3570,22.5,0.205,61699,3428,2909,0.031,7279,1059,27.0,0.16,65260,2373,3221,0.056,634,2986,31.5,0.195,68980,8654,80,0.035,4810,7381,31.5,0.16,72429,5861,2226,0.048,6738,7117,31.5,0.17,76475,4526,2910,0.052,1260,3539,29.5,0.195,79774,1602,6114,0.034,9183,3205,22.0,0.17,83239,2503,7996,0.053,2258,8845,32.0,0.18
25,637,8595,7228,0.059,5108,985,26.5,0.205,4055,7849,8039,0.051,3650,4368,23.0,0.185,7728,8952,5083,0.031,6498,5357,30.0,0.19,11272,5860,7479,0.031,7796,1073,32.0,0.2,14875,6255,2230,0.044,6156,5235,29.5,0.205,18547,4627,7279,0.052,5672,4496,26.5,0.18,22094,2817,5981,0.044,9041,2180,26.5,0.17,25786,3596,650,0.052,4157,3084,29.0,0.185,29347,6070,8131,0.058,7962,2670,31.5,0.185,33024,7433,6642,0.06,2636,7583,31.5,0.18,36455,6960,1966,0.051,5384,2881,26.5,0.185,40076,3984,7927,0.037,3013,9851,22.5,0.205,43942,2267,4294,0.047,7978,9331,30.0,0.21,47292,8302,8024,0.048,1936,1519,31.5,0.185,50836,5760,6286,0.044,8614,8684,27.0,0.185,54434,5975,3079,0.031,6779,8533,30.0,0.19,58378,7902,5424,0.058,1787,6188,31.5,0.195,61750,8601,6279,0.044,5618,1555,23.0,0.2,65270,6358,7672,0.046,2521,6216,31.5,0.18,68989,6379,6920,0.038,9373,6128,23.0,0.195,72440,7703,7359,0.051,8985,5906,32.0,0.195,76490,3779,4498,0.052,1272,513,23.0,0.2,79789,4098,1044,0.053,274,6447,29.0,0.205,83244,8742,2340,0.043,9460,2986,31.5,0.195
26,651,4884,2040,0.043,4883,3506,22.0,0.2,4069,4449,5975,0.06,1618,5266,22.0,0.18,7728,8748,4467,0.054,5298,6252,29.5,0.2,11303,1372,2582,0.038,8296,369,22.0,0.17,14911,1004,7459,0.037,2629,767,32.0,0.195,18574,7244,5898,0.044,9287,6924,23.0,0.185,22110,3974,6896,0.06,8284,6358,31.5,0.185,25797,1015,7043,0.049,9962,9242,30.0,0.18,29372,8859,796,0.049,6025,7394,27.0,0.16,33046,8016,8553,0.044,7484,3902,27.0,0.165,36491,7719,8378,0.05,3145,6976,32.0,0.205,40110,505,1532,0.044,2676,7580,26.5,0.16,43959,5485,2885,0.06,8461,8630,22.0,0.19,47327,6388,8751,0.038,4876,8512,27.0,0.2,50855,5506,433,0.043,555,146,31.5,0.16,54436,8066,4735,0.038,4929,8490,22.5,0.21,58387,8719,5906,0.043,9214,9857,31.5,0.16,61759,909,6699,0.036,9589,8665,29.0,0.19,65334,816,2592,0.05,5697,1998,31.5,0.205,68999,5263,4868,0.049,3724,891,32.0,0.21,72462,6125,8349,0.05,925,2352,27.0,0.17,76505,7362,6156,0.037,6910,8874,30.0,0.185,79845,4899,6059,0.039,4562,8121,27.0,0.2,83246,3124,3678,0.046,9173,7647,30.0,0.17
27,671,1758,5372,0.053,3334,5219,32.0,0.21,4090,5372,974,0.057,2608,9974,29.0,0.16,7730,2214,7262,0.059,192,6578,32.0,0.19,11314,1608,2482,0.039,9902,4975,22.5,0.18,14917,1465,7454,0.037,9680,7536,30.0,0.21,18593,2086,832,0.049,5641,2965,30.0,0.19,22135,4753,8540,0.057,2811,7997,30.0,0.17,25803,5210,7050,0.042,3947,6589,30.0,0.18,29380,7746,7668,0.046,6319,5095,23.0,0.195,33064,5225,8832,0.048,6583,1402,29.5,0.165,36548,972,5792,0.048,5183,1308,29.5,0.19,40142,5170,7247,0.05,3443,8564,23.0,0.17,44011,7690,7538,0.057,9930,8617,22.5,0.17,47328,3537,7572,0.046,6047,5832,30.0,0.21,50863,6676,8065,0.035,8079,7745,22.0,0.165,54490,7818,6676,0.057,5388,4567,29.5,0.165,58391,5001,891,0.057,7978,7363,26.5,0.165,61772,5837,8122,0.047,3230,9344,31.5,0.185,65348,3695,530,0.055,8025,495,22.0,0.17,69053,3585,8075,0.054,4258,7738,31.5,0.2,72495,1936,6833,0.033,1024,530,22.5,0.205,76505,172,7034,0.043,49,3884,26.5,0.18,79861,5492,6745,0.051,5680,4781,22.5,0.205,83250,5528,6996,0.035,4083,8967,32.0,0.17
28,674,7544,4237,0.049,1655,110,26.5,0.2,4113,8974,4964,0.042,6076,9885,23.0,0.18,7745,8353,6397,0.054,3319,2223,29.5,0.165,11407,7728,8170,0.03,2514,8236,31.5,0.21,14983,4942,756,0.046,8419,2317,22.0,0.2,18606,7735,8793,0.038,4887,8878,31.5,0.18,22137,867,8187,0.06,4395,4197,22.5,0.21,25806,7308,4134,0.033,7606,8872,26.5,0.18,29419,8284,783,0.039,7692,6565,32.0,0.19,33069,5741,4388,0.047,6147,1210,29.0,0.205,36550,5146,5334,0.049,1235,2943,22.5,0.18,40147,6287,6302,0.031,8170,9313,32.0,0.19,44075,197,3559,0.051,3523,3909,22.5,0.19,47375,2538,2682,0.035,5298,9731,22.0,0.17,50865,8632,8232,0.038,8959,8954,27.0,0.17,54500,6547,8560,0.032,3611,7799,22.0,0.205,58395,71,395,0.055,3833,9623,27.0,0.21,61807,3265,6846,0.049,1659,8023,26.5,0.2,65383,508,1445,0.044,1556,6025,29.0,0.18,69067,4218,3215,0.049,5449,2946,27.0,0.17,72499,5177,83,0.056,286,1130,30.0,0.21,76526,4100,7893,0.033,2642,265,27.0,0.16,79868,6497,6476,0.037,5219,2358,29.5,0.195,83271,3282,6446,0.053,2861,8917,29.5,0.19
