index,randomTime0(seconds),randomX0(meters),randomY0(meters),soc0,destX0(meters),destY0(meters),batteryCapacityUser0(kwh),ecrUser0(kwh/km),randomTime1(seconds),randomX1(meters),randomY1(meters),soc1,destX1(meters),destY1(meters),batteryCapacityUser1(kwh),ecrUser1(kwh/km),randomTime2(seconds),randomX2(meters),randomY2(meters),soc2,destX2(meters),destY2(meters),batteryCapacityUser2(kwh),ecrUser2(kwh/km),randomTime3(seconds),randomX3(meters),randomY3(meters),soc3,destX3(meters),destY3(meters),batteryCapacityUser3(kwh),ecrUser3(kwh/km),randomTime4(seconds),randomX4(meters),randomY4(meters),soc4,destX4(meters),destY4(meters),batteryCapacityUser4(kwh),ecrUser4(kwh/km),randomTime5(seconds),randomX5(meters),randomY5(meters),soc5,destX5(meters),destY5(meters),batteryCapacityUser5(kwh),ecrUser5(kwh/km),randomTime6(seconds),randomX6(meters),randomY6(meters),soc6,destX6(meters),destY6(meters),batteryCapacityUser6(kwh),ecrUser6(kwh/km),randomTime7(seconds),randomX7(meters),randomY7(meters),soc7,destX7(meters),destY7(meters),batteryCapacityUser7(kwh),ecrUser7(kwh/km),randomTime8(seconds),randomX8(meters),randomY8(meters),soc8,destX8(meters),destY8(meters),batteryCapacityUser8(kwh),ecrUser8(kwh/km),randomTime9(seconds),randomX9(meters),randomY9(meters),soc9,destX9(meters),destY9(meters),batteryCapacityUser9(kwh),ecrUser9(kwh/km),randomTime10(seconds),randomX10(meters),randomY10(meters),soc10,destX10(meters),destY10(meters),batteryCapacityUser10(kwh),ecrUser10(kwh/km),randomTime11(seconds),randomX11(meters),randomY11(meters),soc11,destX11(meters),destY11(meters),batteryCapacityUser11(kwh),ecrUser11(kwh/km),randomTime12(seconds),randomX12(meters),randomY12(meters),soc12,destX12(meters),destY12(meters),batteryCapacityUser12(kwh),ecrUser12(kwh/km),randomTime13(seconds),randomX13(meters),randomY13(meters),soc13,destX13(meters),destY13(meters),batteryCapacityUser13(kwh),ecrUser13(kwh/km),randomTime14(seconds),randomX14(meters),randomY14(meters),soc14,destX14(meters),destY14(meters),batteryCapacityUser14(kwh),ecrUser14(kwh/km),randomTime15(seconds),randomX15(meters),randomY15(meters),soc15,destX15(meters),destY15(meters),batteryCapacityUser15(kwh),ecrUser15(kwh/km),randomTime16(seconds),randomX16(meters),randomY16(meters),soc16,destX16(meters),destY16(meters),batteryCapacityUser16(kwh),ecrUser16(kwh/km),randomTime17(seconds),randomX17(meters),randomY17(meters),soc17,destX17(meters),destY17(meters),batteryCapacityUser17(kwh),ecrUser17(kwh/km),randomTime18(seconds),randomX18(meters),randomY18(meters),soc18,destX18(meters),destY18(meters),batteryCapacityUser18(kwh),ecrUser18(kwh/km),randomTime19(seconds),randomX19(meters),randomY19(meters),soc19,destX19(meters),destY19(meters),batteryCapacityUser19(kwh),ecrUser19(kwh/km),randomTime20(seconds),randomX20(meters),randomY20(meters),soc20,destX20(meters),destY20(meters),batteryCapacityUser20(kwh),ecrUser20(kwh/km),randomTime21(seconds),randomX21(meters),randomY21(meters),soc21,destX21(meters),destY21(meters),batteryCapacityUser21(kwh),ecrUser21(kwh/km),randomTime22(seconds),randomX22(meters),randomY22(meters),soc22,destX22(meters),destY22(meters),batteryCapacityUser22(kwh),ecrUser22(kwh/km),randomTime23(seconds),randomX23(meters),randomY23(meters),soc23,destX23(meters),destY23(meters),batteryCapacityUser23(kwh),ecrUser23(kwh/km)
10,263,7386,2938,0.057,6880,9213,31.5,0.19,3792,5528,2076,0.037,4587,7417,22.0,0.205,7317,4661,7089,0.059,2947,3170,29.5,0.16,11131,8523,5430,0.052,6283,4739,22.0,0.18,14596,460,2928,0.056,7140,8400,29.0,0.21,18152,7508,7909,0.046,9766,7181,31.5,0.21,21968,1775,7563,0.038,5937,8327,27.0,0.18,25408,1366,417,0.052,4347,4566,23.0,0.2,29075,8035,5727,0.032,4103,5311,27.0,0.185,32601,1466,2873,0.042,808,2651,29.0,0.18,36303,2164,2791,0.048,3799,4506,22.5,0.17,40013,3233,4211,0.048,5090,8725,30.0,0.21,43399,8035,3991,0.042,3319,8025,22.5,0.17,47040,2446,1088,0.049,4820,9424,27.0,0.17,50569,5282,6243,0.031,2007,8455,22.5,0.165,54204,2622,4086,0.041,9845,7290,31.5,0.18,57824,314,1648,0.057,7616,2269,29.0,0.165,61408,1145,6979,0.058,7086,3169,29.5,0.195,65032,1437,3740,0.056,8116,5535,22.5,0.17,68674,2794,5509,0.046,3790,7562,23.0,0.16,72239,4532,4171,0.04,9413,2620,26.5,0.21,75814,7822,3888,0.037,9330,6692,22.0,0.21,79500,3570,4334,0.056,9454,7484,30.0,0.2,83029,2100,6166,0.056,535,6039,31.5,0.185
11,283,7011,8652,0.06,6232,133,29.0,0.195,3803,7060,610,0.031,68,6597,29.5,0.18,7366,6172,1908,0.053,2977,5241,30.0,0.205,11133,7889,5733,0.055,8246,6587,31.5,0.2,14632,2192,3350,0.057,2796,6388,30.0,0.18,18170,2432,4148,0.036,6708,9121,32.0,0.165,21998,1333,3276,0.057,9690,797,26.5,0.2,25419,3548,5409,0.055,1238,8217,30.0,0.185,29116,8110,3332,0.04,1117,3603,32.0,0.165,32635,2692,6312,0.052,8529,9682,27.0,0.21,36410,4900,414,0.039,2439,6690,23.0,0.16,40074,5936,1246,0.054,5084,8955,27.0,0.2,43410,3924,6125,0.033,2866,1679,32.0,0.19,47060,3512,4583,0.049,10,3562,27.0,0.185,50580,416,3251,0.049,262,2762,22.5,0.205,54232,6939,4856,0.031,870,4671,22.0,0.195,57827,6611,1448,0.034,8205,1559,32.0,0.18,61416,1813,7417,0.051,8079,5809,26.5,0.165,65082,2539,6623,0.05,1372,6020,26.5,0.19,68691,6689,2569,0.037,3173,5153,23.0,0.21,72239,7503,434,0.039,9925,4079,27.0,0.18,75820,8049,7686,0.04,6565,1420,27.0,0.16,79533,2247,1738,0.046,7601,1607,32.0,0.165,83048,3345,5265,0.048,8594,185,22.0,0.165
12,297,3249,3288,0.051,5187,1041,23.0,0.18,3807,6006,4191,0.045,1139,8419,23.0,0.19,7396,1941,1550,0.031,4657,6157,29.5,0.19,11180,6070,6789,0.031,8962,7315,31.5,0.185,14638,1754,1842,0.059,7332,3778,26.5,0.195,18173,6751,5122,0.031,6713,3626,32.0,0.16,22008,7984,3833,0.037,200,2825,32.0,0.17,25426,279,1209,0.031,6838,7561,26.5,0.195,29135,4485,99,0.056,4174,1264,30.0,0.2,32648,4078,411,0.056,7385,7292,22.0,0.16,36425,5594,2690,0.035,7195,584,30.0,0.17,40084,23,7450,0.045,6981,343,22.5,0.16,43416,377,3547,0.04,5911,1419,27.0,0.2,47064,6032,5991,0.031,3557,3687,23.0,0.2,50662,6093,6772,0.031,460,6526,22.5,0.16,54240,7041,2801,0.038,8852,4945,29.5,0.2,57884,5789,7907,0.05,4518,2445,31.5,0.21,61431,2801,6289,0.055,6019,2684,29.5,0.195,65101,1658,1784,0.042,5066,2010,27.0,0.16,68709,5247,4119,0.043,7803,5112,26.5,0.2,72301,5974,10,0.046,7967,9569,27.0,0.16,75837,6138,1219,0.055,6533,9648,29.0,0.18,79560,6657,2919,0.04,4015,6461,22.0,0.16,83057,7451,4565,0.059,4295,4186,30.0,0.21
13,318,2272,2928,0.036,2735,558,22.0,0.205,3862,8913,8847,0.053,4491,9075,22.0,0.195,7398,268,6932,0.057,3793,247,26.5,0.21,11186,635,2994,0.048,8731,8063,32.0,0.18,14684,3057,3087,0.041,4601,357,22.0,0.19,18191,5855,5066,0.051,6737,2943,27.0,0.185,22018,6956,8846,0.039,6230,2787,23.0,0.17,25439,2558,4040,0.037,5365,433,29.0,0.17,29146,4455,2648,0.043,2561,7735,29.0,0.165,32655,6168,1642,0.036,5731,4798,23.0,0.185,36431,3810,4935,0.051,7684,566,29.0,0.205,40104,2709,3996,0.053,1466,5557,31.5,0.21,43424,3624,8346,0.047,2262,5203,26.5,0.16,47139,62,6413,0.048,7493,9919,29.5,0.165,50665,1916,4570,0.057,1393,2287,22.5,0.17,54257,5259,3638,0.043,5514,9087,22.0,0.17,57887,7595,7243,0.053,9499,2412,22.0,0.18,61457,2358,6289,0.037,2564,8559,26.5,0.2,65105,4286,563,0.035,8220,3455,27.0,0.19,68716,1975,5436,0.05,829,1986,30.0,0.2,72342,3633,7567,0.051,7197,7452,29.5,0.185,75849,7888,1424,0.034,5481,9959,27.0,0.17,79588,2712,908,0.056,8958,637,29.5,0.18,83157,8912,6583,0.057,2582,7619,30.0,0.185
14,325,1637,8494,0.045,4501,7434,22.5,0.17,3872,8556,7808,0.042,6642,7466,22.0,0.195,7402,8094,1214,0.046,7561,349,23.0,0.16,11190,1362,4738,0.049,1418,6431,30.0,0.2,14685,6936,5764,0.04,3732,6841,23.0,0.195,18201,4215,3572,0.057,5878,9461,32.0,0.205,22076,8316,5237,0.044,3927,7484,31.5,0.18,25468,2403,7044,0.033,7436,9769,32.0,0.17,29157,4903,246,0.06,9690,305,30.0,0.165,32661,6551,4290,0.055,3064,3727,29.5,0.205,36434,7383,2097,0.059,607,415,29.0,0.2,40114,1014,1159,0.031,1121,6614,29.5,0.18,43425,2287,1157,0.039,5078,6630,32.0,0.16,47147,633,5177,0.034,7409,1463,29.0,0.17,50674,3836,3429,0.049,8108,1062,22.5,0.185,54292,4895,8880,0.057,6064,9172,29.0,0.205,58037,2910,8962,0.031,8807,3842,30.0,0.18,61481,4762,3372,0.05,1355,1960,30.0,0.2,65114,8696,28,0.034,4088,9483,22.5,0.165,68760,8628,5072,0.045,4693,4329,32.0,0.18,72354,4825,5818,0.031,9177,8292,32.0,0.185,75873,314,3277,0.036,1759,9072,22.0,0.195,79602,992,3887,0.032,4940,9949,22.5,0.205,83198,5657,5483,0.041,4254,3522,27.0,0.205
15,336,5088,1612,0.03,5010,9702,31.5,0.21,3873,1712,921,0.037,6182,9839,22.5,0.205,7410,4476,723,0.033,1401,500,26.5,0.165,11233,7801,8458,0.041,2599,6967,32.0,0.18,14795,2600,8646,0.043,5394,1594,27.0,0.17,18220,1119,235,0.033,4019,3692,26.5,0.205,22089,1577,5591,0.04,2334,5064,23.0,0.17,25487,7562,5481,0.032,5648,2218,29.5,0.195,29166,1477,4385,0.047,800,3415,32.0,0.185,32674,7089,6477,0.033,8637,3134,29.5,0.17,36441,8156,45,0.052,5831,5007,29.0,0.205,40117,8311,6405,0.036,3299,5323,30.0,0.16,43435,2211,8755,0.041,8406,5977,29.0,0.19,47157,4296,5785,0.053,2175,1800,27.0,0.16,50693,6659,6141,0.055,297,2309,23.0,0.16,54313,5911,2278,0.045,9002,1353,26.5,0.205,58086,6473,2541,0.057,6643,901,32.0,0.21,61504,7090,4584,0.031,3188,9327,32.0,0.165,65116,4495,7599,0.032,602,3135,22.5,0.185,68767,8651,1583,0.033,4817,4889,29.0,0.19,72403,8478,4999,0.055,1208,3243,22.0,0.205,75886,3350,4644,0.041,6689,7314,23.0,0.185,79619,8278,2976,0.037,1220,3570,32.0,0.18,83209,1866,4083,0.037,7027,2546,29.0,0.19
16,350,5071,8179,0.039,9959,526,30.0,0.205,3896,1751,8598,0.033,6095,7795,29.5,0.16,7451,3452,3361,0.055,6284,1018,29.0,0.2,11252,2751,4069,0.037,8105,1507,32.0,0.185,14804,2021,2280,0.057,368,5077,30.0,0.195,18253,981,6354,0.036,1749,2465,23.0,0.205,22122,6287,3141,0.06,8441,6170,31.5,0.17,25503,3152,547,0.039,2971,3610,26.5,0.2,29206,4361,8213,0.06,3859,7916,26.5,0.16,32714,2106,2108,0.043,5698,4542,29.0,0.2,36454,454,3018,0.05,1392,2053,26.5,0.195,40131,2893,4186,0.046,7298,3287,22.5,0.165,43471,620,8187,0.039,1302,9712,23.0,0.185,47194,6237,4245,0.057,4744,2129,32.0,0.195,50758,5922,2514,0.055,5487,8622,27.0,0.18,54315,4131,300,0.047,8336,2827,31.5,0.21,58147,1344,4723,0.036,9719,9473,26.5,0.2,61515,2560,426,0.06,4085,3468,26.5,0.16,65126,3787,72,0.033,4206,343,29.5,0.21,68776,4059,7472,0.043,388,7926,32.0,0.21,72414,7453,470,0.048,8304,236,30.0,0.2,75907,2826,3353,0.05,1131,7847,30.0,0.21,79722,6073,360,0.058,6111,7522,31.5,0.165,83228,2516,2402,0.054,1227,3745,31.5,0.16
17,393,2788,7641,0.037,951,185,22.5,0.205,3959,3011,4017,0.037,8370,4929,26.5,0.17,7475,8485,8395,0.059,4146,8540,23.0,0.21,11264,4377,2244,0.041,8807,5832,27.0,0.2,14881,2347,6434,0.058,5539,9005,22.0,0.19,18262,4304,7569,0.033,7963,3455,23.0,0.16,22140,7848,8652,0.057,4225,1667,22.5,0.195,25511,3972,1170,0.035,1200,6124,23.0,0.185,29217,726,4709,0.059,1621,5946,29.5,0.19,32733,2949,2977,0.056,8179,4292,32.0,0.205,36473,401,3133,0.031,6271,8742,22.0,0.165,40143,4274,3816,0.035,9277,2505,22.0,0.195,43486,6368,357,0.051,3571,7016,29.5,0.21,47221,2887,413,0.038,5475,4075,23.0,0.18,50768,4045,8188,0.04,7331,7024,30.0,0.195,54344,2184,5190,0.056,4047,5524,26.5,0.2,58161,8260,483,0.049,3700,1707,30.0,0.21,61522,3459,1565,0.036,8646,7549,22.0,0.16,65144,4296,4252,0.037,3822,2417,31.5,0.2,68777,6759,1006,0.044,7188,2326,30.0,0.195,72440,623,4391,0.053,1831,4522,30.0,0.185,75910,5219,4514,0.035,81,4290,26.5,0.17,79729,1328,7330,0.043,5769,669,23.0,0.165,83276,1336,3224,0.053,9266,5182,32.0,0.19
18,411,366,2437,0.038,8785,2826,22.5,0.165,3999,8355,6337,0.031,8188,5548,29.5,0.205,7478,6533,3854,0.047,6620,1596,22.5,0.165,11267,2430,2246,0.057,5981,1345,22.5,0.19,14889,7171,1926,0.052,5586,5550,30.0,0.195,18280,3401,8889,0.031,7272,7205,32.0,0.18,22154,373,968,0.038,7938,8148,29.5,0.16,25612,2499,2726,0.06,6013,3426,30.0,0.19,29228,5911,4421,0.046,7609,6456,32.0,0.195,32765,1097,5731,0.059,4782,2430,32.0,0.195,36512,5848,5058,0.056,5876,9811,32.0,0.16,40148,6778,7810,0.049,7935,9475,22.5,0.205,43530,1023,5323,0.032,8229,2765,26.5,0.21,47247,5142,2801,0.058,4942,61,22.0,0.2,50798,6532,8065,0.051,6374,9057,30.0,0.16,54371,8853,4739,0.054,7429,8335,30.0,0.21,58218,6152,5059,0.044,2579,4563,26.5,0.18,61584,4416,5316,0.053,4762,433,32.0,0.17,65150,8234,4410,0.049,9503,5120,30.0,0.185,68779,1010,4269,0.04,2520,3927,30.0,0.17,72458,1431,4056,0.054,896,113,22.0,0.21,75925,6541,5154,0.052,1275,4505,32.0,0.205,79730,4507,7953,0.059,9805,10000,29.5,0.2,83277,7698,7382,0.036,7148,7519,26.5,0.185
19,416,6748,3259,0.033,2669,4340,23.0,0.18,4013,1901,3150,0.048,1915,3110,23.0,0.195,7482,1666,2442,0.045,1570,1238,29.0,0.21,11300,8072,8853,0.056,6548,6264,22.0,0.2,14921,8268,8303,0.051,6414,3449,29.5,0.17,18297,5068,961,0.031,3997,8904,32.0,0.195,22185,1891,1478,0.058,7685,1949,30.0,0.18,25636,3898,575,0.057,2844,2215,30.0,0.16,29240,352,8281,0.03,2933,8719,27.0,0.205,32798,7977,1129,0.041,5222,6478,27.0,0.18,36549,3997,4742,0.058,5808,2883,22.0,0.185,40159,1457,122,0.041,5912,6224,23.0,0.16,43533,7923,4650,0.053,9035,5727,22.0,0.19,47263,6589,2884,0.041,4668,4555,30.0,0.185,50799,4468,1270,0.057,6539,9671,22.5,0.16,54391,5896,7641,0.035,4079,1165,27.0,0.19,58219,4423,2317,0.042,5241,2375,32.0,0.18,61593,7652,5789,0.049,9966,9968,22.5,0.2,65165,8624,1220,0.056,511,583,27.0,0.195,68781,548,6120,0.037,1259,8889,23.0,0.16,72505,1617,1419,0.057,4029,9897,31.5,0.195,75956,6615,6099,0.046,1704,5333,29.0,0.165,79734,789,5189,0.042,2953,5103,32.0,0.17,83291,8003,1701,0.031,6706,8344,22.5,0.195
20,425,4149,37,0.058,4886,2970,22.5,0.195,4022,1269,3782,0.04,5115,333,31.5,0.19,7515,4718,3405,0.04,5597,8037,22.5,0.195,11304,8294,5579,0.059,6785,6503,32.0,0.165,14971,8794,6900,0.049,8662,1791,26.5,0.185,18298,7221,83,0.039,4870,7037,26.5,0.195,22191,3957,7932,0.054,6350,5363,31.5,0.185,25676,2952,7205,0.056,3771,7344,32.0,0.2,29311,7907,2735,0.04,2087,966,30.0,0.165,32803,3649,6568,0.039,9513,8877,31.5,0.17,36558,320,4923,0.041,2402,3402,32.0,0.205,40216,6638,705,0.041,5335,2464,29.0,0.165,43564,1607,4356,0.037,4967,4253,29.0,0.17,47282,8770,2328,0.052,2275,8602,26.5,0.18,50811,5353,2504,0.054,5604,3488,29.5,0.21,54431,8169,2410,0.045,7390,3180,29.0,0.195,58239,102,5878,0.054,1380,3700,30.0,0.19,61605,6110,6683,0.052,6839,9668,30.0,0.2,65166,3517,2748,0.054,6707,9957,22.5,0.18,68785,2076,7658,0.047,9939,5807,29.5,0.21,72517,5169,7674,0.052,792,9720,26.5,0.16,75957,539,8385,0.034,4717,6537,29.5,0.205,79734,3001,1921,0.033,4760,9956,23.0,0.19,83294,1785,4871,0.058,545,6735,30.0,0.195
21,462,911,8723,0.052,6350,5623,31.5,0.2,4030,5790,6202,0.056,7484,1154,29.0,0.195,7516,7379,7456,0.03,8146,9152,32.0,0.205,11335,1725,7835,0.036,269,3063,26.5,0.21,14971,7587,8888,0.054,4109,867,30.0,0.18,18326,5841,3372,0.03,901,7609,29.0,0.165,22294,4508,793,0.048,6447,8286,26.5,0.2,25677,6009,4593,0.047,9292,3433,31.5,0.2,29372,8220,3680,0.037,1825,3935,29.5,0.21,32814,6646,261,0.059,6768,6502,30.0,0.165,36570,6311,4579,0.038,82,3470,31.5,0.2,40243,7133,7148,0.056,1205,1190,29.0,0.195,43593,7311,183,0.034,2346,4904,32.0,0.17,47291,1056,4769,0.033,8075,7838,31.5,0.2,50823,6228,7383,0.05,6991,3410,22.5,0.19,54438,994,8630,0.058,3571,2635,29.5,0.185,58299,1234,4292,0.055,5551,5871,27.0,0.205,61631,7444,1455,0.039,8043,8220,29.5,0.165,65167,8543,293,0.03,9417,2413,29.0,0.18,68822,1377,7262,0.054,7083,9678,31.5,0.16,72526,2953,7429,0.047,8369,9907,22.0,0.185,75971,7645,4685,0.048,8907,8091,32.0,0.21,79739,3969,1766,0.034,723,9823,26.5,0.18,83306,614,2262,0.043,8623,7138,29.0,0.19
22,478,7224,8957,0.055,2751,4822,30.0,0.19,4040,963,1949,0.049,5584,5750,26.5,0.16,7593,5781,4528,0.055,9631,6125,32.0,0.21,11361,8953,4716,0.058,6836,6401,32.0,0.2,14974,547,3711,0.054,9163,9589,23.0,0.17,18338,7133,6838,0.039,7715,6732,22.5,0.19,22302,2825,3709,0.057,9276,7882,31.5,0.17,25683,3545,8501,0.032,6437,6834,30.0,0.205,29372,3968,5177,0.05,2739,3057,29.5,0.195,32826,4089,8651,0.034,1080,7711,23.0,0.185,36610,765,6651,0.045,8259,4515,30.0,0.18,40260,7756,3384,0.042,3222,9816,29.5,0.2,43624,3843,2581,0.036,1292,4611,26.5,0.21,47320,2903,2532,0.053,4586,4465,27.0,0.185,50830,7677,708,0.054,5046,5994,22.5,0.185,54455,8210,6885,0.042,2574,4993,22.0,0.205,58333,1196,6966,0.059,3676,6947,26.5,0.19,61667,8952,5306,0.042,4237,2192,23.0,0.2,65200,5790,1716,0.057,3642,1921,22.5,0.205,68832,271,1155,0.057,419,7729,30.0,0.17,72545,1898,3823,0.051,1151,4107,32.0,0.185,76009,628,7160,0.06,144,8917,29.5,0.21,79758,4358,2574,0.034,6488,6550,22.5,0.165,83318,8988,2038,0.031,8180,7025,22.5,0.16
23,512,298,2152,0.048,5324,104,27.0,0.185,4049,3341,1931,0.059,6641,5853,29.0,0.185,7609,6597,4756,0.058,4954,1999,31.5,0.185,11368,4821,1681,0.049,3774,7423,22.5,0.2,14981,6763,1154,0.034,7130,6723,31.5,0.19,18347,1141,2593,0.037,5702,8015,29.5,0.2,22352,3139,5997,0.048,4792,8667,27.0,0.185,25706,746,4575,0.036,5023,1092,31.5,0.185,29377,2968,2910,0.056,2774,8154,29.0,0.205,32885,6902,1283,0.053,541,8786,31.5,0.185,36617,5333,8376,0.054,3777,7685,31.5,0.195,40263,721,769,0.034,5439,8696,26.5,0.165,43654,6702,8560,0.031,598,6232,29.5,0.16,47327,7415,8375,0.035,7025,3018,22.5,0.185,50868,5499,8369,0.045,8527,7601,27.0,0.165,54472,1565,3606,0.033,798,9555,32.0,0.205,58369,5668,7528,0.031,132,8671,31.5,0.2,61681,2736,1444,0.05,5251,8266,32.0,0.165,65201,3806,1843,0.052,8432,2330,32.0,0.165,68859,8246,8323,0.041,4313,9414,29.5,0.165,72550,7219,2499,0.046,9012,4613,29.5,0.19,76012,4442,8691,0.057,5557,1484,27.0,0.2,79790,8627,3069,0.056,2488,1404,22.5,0.185,83329,6031,4024,0.039,2764,8045,29.0,0.17
24,521,7068,3270,0.043,6552,5522,29.5,0.2,4074,4643,1108,0.054,4694,826,27.0,0.205,7622,4073,4246,0.033,4810,3018,22.5,0.21,11375,1004,8605,0.044,5555,7485,23.0,0.18,14983,4534,932,0.034,9934,7552,22.0,0.165,18354,8489,5793,0.03,8356,88,26.5,0.16,22366,3262,1018,0.04,3252,2914,30.0,0.16,25714,8444,939,0.048,9276,3024,30.0,0.16,29404,6125,7755,0.044,2487,5974,22.0,0.195,32933,4049,4914,0.059,3692,2030,29.0,0.185,36635,4384,1681,0.035,7005,4184,32.0,0.16,40264,4349,2024,0.036,3418,5942,26.5,0.17,43662,6239,2594,0.039,9715,7480,29.0,0.2,47332,5676,2858,0.044,9025,6848,22.5,0.17,50886,8688,3875,0.034,9799,87,29.5,0.17,54475,8178,2572,0.034,5632,7229,30.0,0.195,58397,1103,1919,0.036,5169,7409,29.5,0.18,61689,6124,983,0.04,6409,7872,31.5,0.17,65210,1372,4843,0.06,6493,7043,31.5,0.16,68892,8181,2894,0.054,1333,424,30.0,0.2,72578,1791,1366,0.051,1271,601,23.0,0.185,76014,4118,7991,0.046,1940,1800,22.5,0.21,79883,6292,5178,0.046,5164,1038,26.5,0.17,83338,5626,2829,0.05,4958,6770,22.5,0.21
25,549,3117,4419,0.036,3354,9073,22.5,0.165,4080,6211,7161,0.032,2858,3608,22.0,0.195,7670,1880,7404,0.05,8482,8294,26.5,0.185,11375,8962,5565,0.039,7030,5785,26.5,0.19,15039,5247,4204,0.054,1291,9557,27.0,0.18,18359,134,902,0.043,3702,1414,29.5,0.17,22367,3304,4282,0.056,609,965,29.5,0.18,25723,1249,3939,0.06,9731,9953,32.0,0.17,29435,2823,7182,0.045,7601,8857,23.0,0.185,32949,1063,940,0.046,2570,2096,32.0,0.21,36643,1608,1436,0.032,9263,1018,30.0,0.21,40272,8083,8697,0.035,7469,7409,29.5,0.2,43679,5281,2227,0.054,748,1821,26.5,0.17,47348,5280,98,0.041,3496,5934,29.5,0.205,50909,5047,321,0.041,27,7347,23.0,0.195,54492,8843,8908,0.053,383,444,26.5,0.17,58416,955,6910,0.04,9291,3840,29.5,0.16,61706,6613,7801,0.037,1873,2909,23.0,0.19,65255,7310,2668,0.043,3158,1882,32.0,0.195,68912,7879,2359,0.042,8027,886,26.5,0.165,72606,4712,6699,0.04,1386,5159,29.5,0.185,76029,1201,356,0.035,7853,5512,30.0,0.195,79924,7363,1816,0.046,112,5037,30.0,0.195,83346,4413,2739,0.039,7670,3430,30.0,0.165
26,561,7670,8011,0.036,6273,1647,27.0,0.16,4085,8964,899,0.034,3652,9580,29.0,0.16,7683,3867,798,0.046,7052,863,31.5,0.16,11387,5177,2806,0.04,4130,8569,26.5,0.2,15047,8137,5866,0.059,130,2624,32.0,0.165,18365,1113,6858,0.05,7881,756,31.5,0.165,22377,6427,7804,0.057,7848,9915,22.0,0.18,25770,8721,7745,0.044,1736,9205,30.0,0.16,29541,8277,2104,0.045,4351,7868,31.5,0.18,32950,2697,3106,0.06,6023,6861,23.0,0.17,36686,8046,8105,0.051,8986,1115,30.0,0.205,40300,7269,8273,0.049,4944,6520,29.0,0.165,43715,5232,7539,0.053,5457,5647,29.0,0.18,47374,7256,7942,0.052,5077,3276,23.0,0.17,50938,3389,781,0.054,8720,2058,23.0,0.205,54532,4926,4795,0.031,7854,1308,26.5,0.19,58445,3717,7593,0.056,4056,69,32.0,0.17,61718,7219,330,0.058,2188,4281,26.5,0.185,65264,8420,4237,0.058,1182,3879,22.0,0.185,68915,3910,4878,0.039,7921,3229,32.0,0.21,72656,5977,6078,0.055,3673,2304,27.0,0.205,76031,6239,1974,0.047,7333,6699,29.0,0.16,79926,6563,3596,0.031,714,4974,29.0,0.205,83374,347,4188,0.035,6974,8793,27.0,0.185
27,599,6063,7205,0.032,1429,3292,26.5,0.21,4121,762,3455,0.058,4848,9426,22.5,0.165,7683,3451,7639,0.05,2235,7060,29.5,0.205,11435,8684,7630,0.037,7876,2526,31.5,0.195,15078,2762,5805,0.052,898,5196,22.5,0.17,18390,6154,416,0.058,7973,1719,23.0,0.21,22384,7889,4220,0.038,7272,4638,22.0,0.18,25782,3448,3529,0.048,8049,3681,29.5,0.21,29589,6513,73,0.04,1188,7232,32.0,0.18,32960,1210,6601,0.037,6217,2286,29.5,0.195,36715,5854,6065,0.041,4090,6704,31.5,0.2,40307,8138,3679,0.037,2828,8441,29.5,0.21,43773,3863,5066,0.057,6473,9128,26.5,0.16,47419,5221,4985,0.059,7017,2173,29.0,0.195,50958,3870,6222,0.05,3916,6341,32.0,0.17,54539,1188,330,0.032,4268,3696,26.5,0.21,58457,230,167,0.057,2495,8353,22.0,0.2,61722,4392,1355,0.045,3031,4759,31.5,0.165,65308,597,4884,0.051,6901,5301,22.5,0.205,68931,7734,3591,0.056,7625,9228,29.5,0.18,72678,7028,2632,0.038,4322,8144,32.0,0.21,76056,7309,6977,0.06,281,7248,30.0,0.165,79942,7068,4403,0.046,1534,4785,22.0,0.19,83385,3302,3430,0.048,8348,8986,32.0,0.195
28,621,283,2975,0.033,9511,9767,31.5,0.165,4143,595,8907,0.051,5479,2500,30.0,0.2,7706,7619,193,0.059,1612,3923,27.0,0.195,11489,2189,5292,0.034,7700,8524,29.0,0.2,15079,836,1994,0.059,2667,2329,22.0,0.195,18421,2369,1056,0.044,8798,5501,27.0,0.165,22393,6435,1371,0.045,3995,5109,23.0,0.19,25802,6246,8899,0.033,7103,4411,32.0,0.205,29606,1870,8920,0.05,2785,1942,29.5,0.2,32962,2795,5097,0.03,4334,6259,27.0,0.18,36746,7648,2008,0.053,3522,533,29.5,0.17,40326,2244,5789,0.046,5000,4106,22.0,0.21,43774,6718,4618,0.043,7679,1520,23.0,0.195,47430,1336,4693,0.051,3783,3169,31.5,0.205,50966,3188,3309,0.035,7873,5534,31.5,0.205,54580,5327,297,0.056,9869,3011,26.5,0.17,58461,2573,1317,0.041,8611,250,29.0,0.21,61752,4727,1284,0.043,4484,2977,27.0,0.195,65335,2767,8570,0.059,5124,865,32.0,0.165,68946,6775,7895,0.054,4555,1083,27.0,0.195,72705,4375,268,0.035,9088,9214,27.0,0.16,76065,5617,1725,0.032,2847,5081,22.5,0.18,79952,5232,1720,0.058,3542,9228,29.0,0.16,83460,187,643,0.048,6298,5498,29.0,0.165
